Code,Name,Unit,Energy_Kcal,Protein_g,Fat_g,Carb_g,Fiber_g,Calcium_mg,Iron_mg,Vit_A_mcg,Vit_C_mg,Vit_B1_mg,Vit_B2_mg
1013,Bánh phở,100g,143.0,3.2,0.4,31.7,0.0,16.0,0.3,0.0,0.0,0.01,0.01
1014,Bánh quẩy,100g,292.0,8.0,10.8,40.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0
1015,Bỏng ngô,100g,372.0,8.6,1.6,80.8,3.4,3.0,0.6,0.0,0.0,0.02,0.03
1016,Bột gạo nếp,100g,362.0,8.2,1.6,78.8,0.6,12.0,0.8,0.0,0.0,0.1,0.02
1017,Bột gạo tẻ,100g,359.0,6.6,0.4,82.2,0.4,24.0,1.9,0.0,0.0,0.08,0.05
1018,Bột mì,100g,346.0,10.3,1.1,73.6,0.3,29.0,2.0,0.0,0.0,0.18,0.13
1019,Bột ngô vàng,100g,361.0,8.3,4.0,73.0,1.5,15.0,2.1,0.0,0.0,0.17,0.08
1020,Bún,100g,110.0,1.7,0.0,25.7,0.5,12.0,0.2,0.0,0.0,0.04,0.01
1021,Cốm,100g,297.0,6.1,0.8,66.3,0.6,24.0,1.0,0.0,0.0,0.0,0.0
1022,Mì sợi,100g,349.0,11.0,0.9,74.2,0.3,34.0,1.5,0.0,0.0,0.1,0.04
1023,Ngô nếp luộc,100g,167.0,3.9,2.2,32.9,1.2,18.0,0.8,0.0,0.0,0.0,0.0
2001,Củ ấu,100g,115.0,3.6,0.5,24.0,1.0,9.0,0.7,0.0,5.0,0.23,0.05
2002,Củ cái,100g,127.0,3.1,0.2,28.3,1.8,20.0,2.9,0.0,1.0,0.0,0.0
2003,Củ dong,100g,119.0,1.4,0.0,28.4,2.4,42.0,0.0,0.0,0.0,0.0,0.0
2004,Củ sắn,100g,152.0,1.1,0.2,36.4,1.5,25.0,1.2,0.0,34.0,0.03,0.03
2005,Củ sắn dây,100g,119.0,1.6,0.1,28.0,9.2,28.0,0.2,0.0,0.0,0.0,0.0
2006,Củ súng khô (đã bỏ vỏ),100g,350.0,16.1,0.5,70.3,2.3,100.0,0.2,0.0,0.0,0.0,0.0
2007,Củ từ,100g,92.0,1.5,0.0,21.5,1.2,28.0,0.2,0.0,2.0,0.0,0.0
2008,Khoai lang,100g,119.0,0.8,0.2,28.5,1.3,34.0,1.0,0.0,23.0,0.05,0.05
2009,Khoai lang nghệ,100g,116.0,1.2,0.3,27.1,0.8,36.0,0.9,0.0,30.0,0.12,0.05
2010,Khoai môn,100g,109.0,1.5,0.2,25.2,1.2,44.0,0.8,0.0,4.0,0.09,0.03
2011,Khoai nước,100g,98.0,1.0,0.1,23.3,2.0,52.0,0.2,0.0,3.0,0.0,0.0
2012,Khoai riềng,100g,104.0,0.8,0.0,25.1,2.5,64.0,1.7,0.0,0.0,0.0,0.0
2013,Khoai sọ,100g,114.0,1.8,0.1,26.5,1.2,64.0,1.5,0.0,4.0,0.06,0.03
2014,Khoai tây,100g,93.0,2.0,0.1,20.9,1.0,10.0,1.2,0.0,10.0,0.1,0.05
2015,Miến dong,100g,332.0,0.6,0.1,82.2,1.5,40.0,1.0,0.0,0.0,0.0,0.0
2016,Bột dong lọc,100g,341.0,0.6,0.0,84.7,0.5,37.0,1.7,0.0,0.0,0.0,0.0
2017,Bột khoai lang,100g,334.0,2.2,0.5,80.2,1.6,50.0,2.0,0.0,0.0,0.24,0.09
2018,Bột khoai riềng (bột đao),100g,337.0,0.2,0.0,84.1,1.5,16.0,0.0,0.0,0.0,0.0,0.0
2019,Bột khoai tây (lọc),100g,345.0,1.0,0.3,84.4,0.4,30.0,3.0,0.0,0.0,0.01,0.0
2020,Bột sắn,100g,333.0,2.4,0.5,79.6,2.2,84.0,0.0,0.0,0.0,0.02,0.03
2021,Bột sắn dây,100g,340.0,0.7,0.0,84.3,0.8,18.0,1.5,0.0,0.0,0.0,0.0
2022,Khoai lang khô,100g,333.0,2.2,0.5,80.0,3.6,95.0,2.78,0.0,0.0,0.09,0.07
2023,Khoai tây khô,100g,330.0,6.6,0.3,75.1,3.4,37.0,4.3,0.0,0.0,0.36,0.18
2024,Khoai tây lát chiên,100g,525.0,2.2,35.4,49.3,6.3,37.0,2.1,0.0,1.0,0.15,0.02
2025,Sắn khô,100g,340.0,3.0,0.7,80.3,3.0,96.0,7.9,0.0,0.0,0.06,0.05
2026,Trân châu sắn,100g,341.0,1.0,0.0,84.3,0.6,30.0,2.0,0.0,0.0,0.04,0.0
3001,Cùi dừa già,100g,368.0,4.8,36.0,6.2,4.2,30.0,30.0,0.0,2.0,0.1,0.01
3002,Cùi dừa non,100g,40.0,3.5,1.7,2.6,3.5,4.0,1.0,0.0,6.0,0.04,0.03
3003,Đậu cô ve (hạt),100g,321.0,21.8,1.6,54.9,3.5,96.0,0.0,0.0,0.0,0.0,0.0
3004,Đậu đen (hạt),100g,325.0,24.2,1.7,53.3,4.0,56.0,6.1,0.0,3.0,0.5,0.21
3005,Đậu đũa (hạt),100g,320.0,23.7,2.0,51.9,4.3,110.0,6.5,0.0,1.0,0.59,0.22
3006,Đậu Hà lan (hạt),100g,318.0,22.2,1.4,54.1,6.0,57.0,4.4,0.0,0.0,0.77,0.18
3007,Đậu tương (đậu nành),100g,400.0,34.0,18.4,24.6,4.5,165.0,11.0,0.0,4.0,0.54,0.29
3008,Đậu trắng hạt (Đậu Tây),100g,327.0,23.2,2.1,53.8,3.6,160.0,6.8,0.0,3.0,0.54,0.18
3009,Đậu trứng cuốc,100g,321.0,25.8,2.0,50.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0
3010,Đậu xanh (đậu tắt),100g,328.0,23.4,2.4,53.1,4.7,64.0,4.8,0.0,4.0,0.72,0.15
3011,Hạt dẻ to,100g,638.0,18.0,59.0,8.7,3.5,61.0,2.3,0.0,3.0,0.48,0.13
3012,Hạt dẻ tươi,100g,223.0,4.2,1.1,49.1,0.0,18.0,1.41,0.0,36.0,0.16,0.18
3013,Hạt dẻ khô,100g,363.0,6.8,1.8,79.8,0.0,29.0,2.29,0.0,59.0,0.26,0.29
3014,Hạt đen,100g,472.0,17.3,29.0,35.5,3.5,84.0,0.0,0.0,0.0,0.0,0.0
3015,Hạt điều,100g,605.0,18.4,46.3,28.7,0.6,28.0,3.6,0.0,1.0,0.25,0.34
3016,Hạt mít,100g,166.0,0.7,1.1,38.3,0.0,46.0,3.4,0.0,0.0,0.0,0.0
3017,Lạc hạt,100g,573.0,27.5,44.5,15.5,2.5,68.0,2.2,0.0,0.0,0.44,0.12
3018,Quả cọ tươi,100g,178.0,2.3,13.4,12.1,3.5,38.0,0.2,0.0,0.0,0.0,0.0
3019,Quả đại hái tươi,100g,427.0,20.0,38.0,1.2,3.4,66.0,3.1,0.0,0.0,0.0,0.0
3020,"Vừng (đen, trắng)",100g,568.0,20.1,46.4,17.6,3.5,975.0,14.55,0.0,0.0,0.79,0.25
3021,Bột đậu tương đã loại béo (đậu nành),100g,321.0,49.0,1.0,29.0,2.5,247.0,7.6,0.0,0.0,0.7,0.3
3022,Bột đậu tương rang chín,100g,418.0,41.0,18.0,22.9,2.5,189.0,7.5,0.0,0.0,0.4,0.16
3023,Bột đậu xanh,100g,347.0,24.6,2.5,56.5,3.9,50.0,1.0,0.0,4.0,0.75,0.16
3024,Bột lạc,100g,575.0,27.5,45.0,15.0,2.1,80.0,3.0,0.0,0.0,0.4,0.11
3025,Đậu phụ,100g,95.0,10.9,5.4,0.7,0.4,24.0,2.2,0.0,0.0,0.03,0.02
3026,Đậu phụ chúc,100g,414.0,50.2,20.8,6.5,0.3,325.0,10.8,0.0,0.0,0.0,0.0
3027,Đậu phụ nướng,100g,114.0,13.4,6.4,0.8,0.5,370.0,4.7,0.0,0.0,0.04,0.05
3028,Hạt bí đỏ rang,100g,519.0,35.1,31.8,23.0,2.3,235.0,2.2,0.0,0.0,0.15,0.15
3029,Hạt dưa đỏ rang (dưa hấu),100g,551.0,31.8,39.1,18.0,1.8,237.0,3.0,0.0,0.0,0.03,0.14
3030,"Hạt điều khô, chiên dầu",100g,583.0,18.3,49.3,16.4,0.7,32.0,3.9,0.0,0.0,0.36,0.34
3031,Sữa bột đậu nành,100g,405.0,31.1,9.7,48.2,2.2,224.0,7.5,0.0,0.0,0.4,0.16
3032,Sữa đậu nành (100g đậu/lít),100g,28.0,3.1,1.6,0.4,0.1,18.0,1.2,0.0,0.0,0.05,0.02
3033,Tào phớ,100g,37.0,2.3,0.2,6.4,0.2,92.0,0.3,0.0,0.0,0.0,0.0
4001,Bầu,100g,14.0,0.6,0.02,2.9,1.0,21.0,0.2,0.0,12.0,0.02,0.03
4002,Bí đao (bí xanh),100g,12.0,0.6,0.0,2.4,1.0,26.0,0.3,0.0,16.0,0.01,0.02
4003,Bí ngô,100g,27.0,0.3,0.1,6.1,0.7,24.0,0.5,0.0,8.0,0.06,0.03
4004,Cà bát,100g,23.0,1.2,0.2,4.0,1.5,12.0,0.7,0.0,3.0,0.03,0.04
4005,Cà chua,100g,20.0,0.6,0.2,4.0,0.8,12.0,1.4,0.0,40.0,0.06,0.04
4006,Cà pháo,100g,20.0,1.5,0.0,3.6,1.6,12.0,0.7,0.0,3.0,0.03,0.04
4007,"Cà rốt (củ đỏ, vàng)",100g,39.0,1.5,0.2,7.8,1.2,43.0,0.8,0.0,8.0,0.06,0.06
4008,Cà rốt khô,100g,292.0,9.2,1.5,60.4,9.6,323.0,5.9,0.0,0.0,0.0,0.0
4009,Cà tím,100g,22.0,1.0,0.0,4.5,1.5,15.0,0.4,0.0,15.0,0.04,0.05
4010,Cải bắp,100g,29.0,1.8,0.1,5.3,1.6,48.0,1.1,0.0,30.0,0.06,0.05
4011,Cải bắp đỏ,100g,45.0,1.9,0.2,9.0,4.0,83.0,0.5,0.0,60.0,0.07,0.05
4012,Cải bắp khô,100g,245.0,18.0,1.6,39.7,14.0,300.0,7.5,0.0,2.0,0.15,0.52
4013,Cải cúc,100g,14.0,1.6,0.0,1.9,2.0,63.0,0.8,0.0,27.0,0.01,0.03
4014,Cải soong,100g,15.0,2.1,0.1,1.3,2.0,69.0,1.6,0.0,25.0,0.08,0.26
4015,Cải thìa (cải trắng),100g,17.0,1.4,0.2,2.4,1.8,50.0,0.7,0.0,26.0,0.09,0.07
4016,Cải xanh,100g,16.0,1.7,0.2,1.9,1.8,89.0,1.9,0.0,51.0,0.07,0.1
4017,Cần ta,100g,10.0,1.0,0.0,1.5,1.5,310.0,3.0,0.0,6.0,0.04,0.03
4018,Cần tây,100g,48.0,3.7,0.2,7.9,1.5,325.0,8.0,0.0,150.0,0.06,0.07
4019,Chuối xanh,100g,74.0,1.2,0.5,16.4,1.0,26.0,0.4,0.0,31.0,0.05,0.02
4020,Củ cải đỏ,100g,48.0,1.3,0.0,10.8,0.9,28.0,1.4,0.0,20.0,0.02,0.05
4021,Củ cải trắng,100g,21.0,1.5,0.1,3.6,1.5,40.0,1.1,0.0,30.0,0.06,0.06
4022,Củ cải trắng khô,100g,220.0,17.6,1.5,33.9,17.7,629.0,6.73,0.0,0.0,0.27,0.68
4023,Củ đậu,100g,28.0,1.0,0.0,6.0,0.7,8.0,0.0,0.0,6.0,0.0,0.0
4024,Củ niễng,100g,30.0,2.0,0.0,5.4,1.8,24.0,1.4,0.0,2.0,0.0,0.0
4025,Dọc củ cải (non),100g,14.0,1.9,0.0,1.6,1.8,220.0,0.4,0.0,72.0,0.06,0.11
4026,Dọc mùng,100g,5.0,0.4,0.0,0.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4027,Dưa chuột,100g,16.0,0.8,0.1,2.9,0.7,23.0,1.0,0.0,5.0,0.03,0.04
4028,Dưa gang,100g,11.0,0.8,0.0,2.0,0.7,25.0,0.4,0.0,4.0,0.04,0.04
4029,Đậu cô ve,100g,73.0,5.0,0.0,13.3,1.0,26.0,0.7,0.0,25.0,0.34,0.19
4030,Đậu đũa,100g,59.0,6.0,0.4,7.9,2.0,47.0,1.6,0.0,22.0,0.29,0.18
4031,Đậu Hà Lan,100g,72.0,6.5,0.4,10.6,1.0,57.0,0.8,0.0,27.0,0.4,0.15
4032,Đậu rồng (quả non),100g,34.0,1.9,0.1,6.3,1.6,63.0,1.3,0.0,22.0,0.06,0.12
4033,Đu đủ xanh,100g,22.0,0.8,0.0,4.6,2.0,63.0,0.9,0.0,40.0,0.02,0.03
4034,Gấc,100g,122.0,2.1,7.9,10.5,1.8,56.0,1.2,0.0,11.0,0.0,0.0
4035,Giá đậu tương,100g,79.0,7.7,1.8,8.0,0.7,52.0,1.1,0.0,10.0,0.19,0.15
4036,Giá đậu xanh,100g,44.0,5.5,0.2,5.1,2.0,38.0,1.4,0.0,10.0,0.2,0.13
4037,Hành củ tươi,100g,26.0,1.3,0.4,4.4,0.7,32.0,1.1,0.0,10.0,0.03,0.04
4038,Hành lá (hành hoa),100g,22.0,1.3,0.0,4.3,0.9,80.0,1.0,0.0,60.0,0.03,0.1
4039,Hành tây,100g,41.0,1.8,0.1,8.2,1.1,38.0,0.8,0.0,10.0,0.03,0.04
4040,Hạt sen tươi,100g,161.0,9.5,0.5,29.5,0.8,76.0,1.4,0.0,17.0,0.17,0.09
4041,Hạt sen khô,100g,334.0,20.0,2.4,58.0,2.2,89.0,6.4,0.0,0.0,0.64,0.15
4042,Hẹ lá,100g,18.0,2.2,0.3,1.5,0.9,56.0,1.3,0.0,19.0,0.03,0.09
4043,Hoa chuối,100g,20.0,1.5,0.0,3.5,2.0,44.0,0.9,0.0,5.0,1.04,0.03
4044,Hoa lý,100g,23.0,2.9,0.0,2.8,3.0,52.0,1.2,0.0,48.0,0.19,0.13
4045,Khế,100g,16.0,0.6,0.3,2.8,2.6,10.0,0.9,0.0,30.0,0.05,0.04
4046,Lá lốt,100g,39.0,4.3,0.0,5.4,2.5,260.0,4.1,0.0,34.0,0.0,0.0
4047,Lá me,100g,46.0,7.5,0.0,4.0,0.0,319.0,0.0,0.0,0.0,0.0,0.0
4048,Lá mơ lông,100g,27.0,3.9,0.0,2.9,5.1,211.0,0.0,0.0,75.0,0.0,0.0
4049,Lá sắn tươi,100g,78.0,7.0,0.0,12.6,4.3,200.0,1.9,0.0,295.0,0.25,0.66
4050,Măng chua,100g,11.0,1.4,0.0,1.4,4.1,18.0,0.9,0.0,9.0,0.11,0.09
4051,Măng khô,100g,157.0,13.0,2.1,21.5,36.0,100.0,5.0,0.0,1.0,0.11,0.14
4052,Măng tây,100g,14.0,2.2,0.1,1.1,2.3,21.0,0.9,0.0,10.0,0.16,0.03
4053,Măng tre,100g,15.0,1.7,0.3,1.4,4.1,22.0,1.0,0.0,1.0,0.08,0.08
4054,Mướp,100g,17.0,0.9,0.2,2.8,0.5,28.0,0.8,0.0,8.0,0.04,0.06
4055,Mướp đắng,100g,16.0,0.9,0.2,2.8,1.1,18.0,0.6,0.0,22.0,0.07,0.04
4056,Mướp Nhật bản,100g,10.0,0.8,0.0,1.8,1.4,30.0,0.3,0.0,0.0,0.0,0.0
4057,Ngải cứu,100g,25.0,3.8,0.0,2.4,2.0,136.0,3.1,0.0,0.0,0.0,0.0
4058,Ngô bao tử,100g,40.0,2.2,0.2,7.4,0.4,5.0,0.9,0.0,34.0,0.09,0.2
4059,Ngó sen,100g,61.0,1.0,0.1,13.9,1.2,19.0,0.5,0.0,25.0,0.11,0.04
4060,Nụ mướp,100g,30.0,4.9,0.0,2.5,1.5,140.0,1.2,0.0,0.0,0.0,0.0
4061,Ớt đỏ to,100g,23.0,1.0,0.3,4.0,2.0,7.0,0.43,0.0,190.0,0.05,0.09
4062,Ớt vàng to,100g,29.0,1.3,0.2,5.5,1.4,86.0,3.6,0.0,250.0,0.37,0.51
4063,Ớt xanh to,100g,25.0,1.3,0.2,4.5,1.5,6.0,0.8,0.0,103.0,0.04,0.05
4064,Quả dọc,100g,19.0,0.8,0.0,3.9,0.0,21.0,0.0,0.0,0.0,0.0,0.0
4065,Quả me chua,100g,27.0,1.9,0.0,4.8,2.0,130.0,0.4,0.0,12.0,0.15,0.05
4066,Rau bí,100g,18.0,2.7,0.0,1.7,1.7,100.0,2.1,0.0,11.0,0.09,0.13
4067,Rau câu khô,100g,198.0,11.2,1.1,35.8,20.8,378.0,8.8,0.0,0.0,0.01,0.22
4068,Rau câu tươi,100g,25.0,1.9,0.1,4.1,5.0,85.0,0.9,0.0,0.0,0.01,0.03
4069,Rau diếp,100g,14.0,1.2,0.2,1.8,0.5,38.0,1.1,0.0,30.0,0.3,0.09
4070,Rau đay,100g,25.0,2.8,0.3,3.0,1.5,182.0,7.7,0.0,77.0,0.13,0.26
4071,"Rau giấp cá, diếp cá",100g,22.0,2.9,0.0,2.7,1.8,0.0,0.0,0.0,68.0,0.0,0.0
4072,Rau dền cơm,100g,21.0,3.4,0.3,1.1,1.6,341.0,4.1,0.0,63.0,0.36,1.3
4073,Rau dền đỏ,100g,41.0,3.3,0.3,6.2,1.6,288.0,5.4,0.0,89.0,0.08,1.16
4074,Rau dền trắng,100g,42.0,3.2,0.4,6.3,1.5,288.0,6.1,0.0,27.0,0.08,0.28
4075,Rau húng,100g,20.0,2.2,0.6,1.5,3.5,202.0,4.8,0.0,27.0,0.08,0.35
4076,Rau khoai lang,100g,23.0,2.6,0.3,2.5,1.4,48.0,2.7,0.0,11.0,0.13,0.26
4077,Rau kinh giới,100g,22.0,2.7,0.0,2.8,3.6,246.0,1.0,0.0,110.0,0.0,0.0
4078,Rau má rừng,100g,25.0,3.1,0.0,3.1,1.5,172.0,0.2,0.0,20.0,0.0,0.0
4079,"Rau má, má mơ",100g,20.0,3.2,0.0,1.8,4.5,229.0,3.1,0.0,37.0,0.15,0.14
4080,Rau mồng tơi,100g,14.0,2.0,0.0,1.4,2.5,176.0,1.6,0.0,72.0,0.06,0.17
4081,Rau mùi,100g,16.0,2.6,0.5,0.2,1.8,133.0,4.5,0.0,140.0,0.11,0.15
4082,Rau mùi tàu,100g,25.0,2.1,0.8,2.4,1.6,20.0,2.9,0.0,177.0,0.11,0.28
4083,Rau muống,100g,25.0,3.2,0.4,2.1,1.0,100.0,1.4,0.0,23.0,0.1,0.09
4084,Rau muống khô,100g,245.0,34.2,1.8,23.0,12.0,880.0,15.2,0.0,10.0,0.0,0.0
4085,Rau ngổ,100g,15.0,1.5,0.0,2.3,2.1,84.0,2.2,0.0,78.0,0.11,0.15
4086,Rau ngót,100g,35.0,5.3,0.0,3.4,2.5,169.0,2.7,0.0,185.0,0.07,0.39
4087,Rau ngót khô,100g,239.0,32.2,2.6,21.8,15.0,0.0,0.0,0.0,0.0,0.0,0.0
4088,Rau răm,100g,30.0,4.7,0.0,2.8,3.8,316.0,2.2,0.0,57.0,0.0,0.0
4089,Rau rút,100g,28.0,5.1,0.0,1.8,1.9,180.0,0.0,0.0,0.0,0.0,0.0
4090,Rau xà lách,100g,17.0,1.5,0.4,1.8,0.5,77.0,0.9,0.0,15.0,0.14,0.12
4091,Rau sam,100g,18.0,1.4,0.0,3.0,0.7,85.0,1.5,0.0,26.0,0.03,0.11
4092,Rau sắng (chùa Hương),100g,48.0,6.5,0.0,5.5,3.4,110.0,0.0,0.0,114.0,0.0,0.0
4093,Rau tàu bay,100g,18.0,2.5,0.0,1.9,1.6,81.0,0.0,0.0,10.0,0.0,0.0
4094,Rau thơm,100g,18.0,2.0,0.0,2.4,3.0,170.0,3.8,0.0,41.0,0.14,0.15
4095,Sấu xanh,100g,19.0,1.8,0.0,3.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0
4096,Su hào,100g,37.0,2.8,0.1,6.2,1.7,46.0,0.6,0.0,40.0,0.06,0.05
4097,Su hào khô,100g,261.0,20.0,1.4,42.1,12.5,0.0,0.0,0.0,3.0,0.0,0.0
4098,"Su su, quả",100g,19.0,0.8,0.1,3.6,1.0,17.0,0.4,0.0,4.0,0.01,0.02
4099,Súp lơ trắng,100g,30.0,2.5,0.1,4.8,0.9,26.0,1.4,0.0,70.0,0.11,0.1
4100,Súp lơ xanh,100g,26.0,3.0,0.3,2.9,3.2,33.0,0.73,0.0,88.0,0.08,0.1
4101,Thìa là,100g,28.0,2.6,1.1,1.8,5.0,200.0,1.2,0.0,63.0,0.05,0.12
4102,Tía tô,100g,25.0,2.9,0.0,3.4,3.6,190.0,3.2,0.0,13.0,0.0,0.0
4103,Tỏi ta,100g,121.0,6.0,0.5,23.0,1.5,24.0,1.5,0.0,10.0,0.24,0.03
4104,Tỏi tây (cả lá),100g,29.0,1.4,0.0,5.9,1.5,80.0,2.0,0.0,20.0,0.06,0.04
4105,Trám đen chín,100g,114.0,2.5,10.0,3.6,4.9,140.0,0.0,0.0,14.0,0.0,0.0
4106,"Trám xanh sống, trám trắng",100g,37.0,1.2,1.6,4.4,4.9,136.0,0.0,0.0,20.0,0.02,0.11
4107,Xương sông,100g,15.0,2.2,0.0,1.5,3.2,112.0,4.0,0.0,4.0,0.0,0.0
4108,Cà chua muối,100g,6.0,0.6,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
4109,Cà muối nén,100g,13.0,1.3,0.0,2.0,1.7,15.0,0.8,0.0,0.0,0.05,0.06
4110,Cà muối sổi,100g,16.0,1.5,0.0,2.5,1.7,0.0,0.0,0.0,0.0,0.0,0.0
4111,Dưa cải bắp,100g,18.0,1.2,0.0,3.3,1.6,51.0,0.3,0.0,20.0,0.01,0.06
4112,Dưa cải bẹ,100g,17.0,1.8,0.0,2.4,2.1,100.0,3.0,0.0,3.0,0.03,0.12
4113,Dưa cải sen,100g,10.0,1.1,0.0,1.3,1.8,63.0,0.0,0.0,0.0,0.0,0.0
4114,Dưa chuột muối,100g,13.0,0.8,0.0,2.5,0.7,25.0,1.2,0.0,4.0,0.01,0.02
4115,Dưa giá (đậu xanh),100g,39.0,5.0,0.0,4.8,2.0,22.0,1.1,0.0,0.0,0.0,0.0
4116,Hành củ muối,100g,22.0,1.4,0.0,4.0,0.7,12.0,1.3,0.0,0.0,0.02,0.03
4117,Kiệu muối,100g,24.0,1.3,0.0,4.7,1.2,50.0,1.2,0.0,12.0,0.05,0.1
4118,"Nhút (muối từ mít non, ngọn đậu xanh non...)",100g,16.0,2.5,0.0,1.5,2.3,204.0,9.0,0.0,0.0,0.0,0.0
4119,Men bia khô,100g,340.0,52.5,3.2,25.4,6.6,44.0,16.1,0.0,0.0,2.33,5.44
4120,Men bia tươi,100g,95.0,16.2,1.3,4.5,2.0,30.0,5.0,0.0,0.0,0.77,1.06
4121,Mộc nhĩ,100g,304.0,10.6,0.2,65.0,7.0,357.0,56.1,0.0,1.0,0.15,0.55
4122,Nấm hương khô,100g,274.0,36.0,4.0,23.5,17.0,184.0,35.0,0.0,0.0,0.16,1.59
4123,Nấm hương tươi,100g,39.0,5.5,0.5,3.1,3.0,27.0,5.2,0.0,0.0,0.0,0.0
4124,Nấm mỡ (Nấm tây),100g,32.0,4.0,0.3,3.4,1.1,28.0,1.3,0.0,4.0,0.11,0.16
4125,Nấm rơm,100g,57.0,3.6,3.2,3.4,1.1,28.0,1.2,0.0,2.0,0.12,0.33
4126,Nấm thường tươi,100g,34.0,4.6,0.8,2.2,3.5,2.0,0.7,0.0,6.0,0.25,0.3
5001,Bưởi,100g,30.0,0.2,0.0,7.3,0.7,23.0,0.5,0.0,95.0,0.04,0.02
5002,Cam,100g,38.0,0.9,0.1,8.3,1.4,34.0,0.4,0.0,40.0,0.08,0.03
5003,Chanh,100g,24.0,0.9,0.3,4.5,1.3,40.0,0.6,0.0,77.0,0.04,0.01
5004,Chôm chôm,100g,72.0,1.5,0.0,16.4,1.3,28.0,0.5,0.0,0.0,0.0,0.0
5005,Chuối khô,100g,292.0,5.0,0.0,68.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0
5006,Chuối tây,100g,56.0,0.9,0.3,12.4,2.6,12.0,0.5,0.0,6.0,0.04,0.07
5007,Chuối tiêu,100g,97.0,1.5,0.2,22.2,0.8,8.0,0.6,0.0,6.0,0.04,0.05
5008,Dâu gia,100g,27.0,0.6,0.0,6.2,0.0,20.0,0.5,0.0,2.0,0.0,0.0
5009,Dâu tây,100g,43.0,1.8,0.4,8.1,4.0,22.0,0.7,0.0,60.0,0.03,0.06
5010,Dưa bở,100g,18.0,0.5,0.2,3.6,0.7,36.0,0.3,0.0,9.0,0.04,0.02
5011,Dưa hấu,100g,16.0,1.2,0.2,2.3,0.5,8.0,1.0,0.0,7.0,0.04,0.04
5012,Dưa hồng,100g,17.0,0.3,0.1,3.7,0.4,27.0,0.4,0.0,7.0,0.02,0.02
5013,Dưa lê,100g,18.0,0.4,0.0,4.2,0.5,11.0,0.6,0.0,0.0,0.0,0.0
5014,Dứa ta,100g,29.0,0.8,0.0,6.5,0.8,15.0,0.5,0.0,24.0,0.08,0.02
5015,Dứa tây,100g,38.0,0.5,0.1,8.8,0.4,32.0,0.3,0.0,26.0,0.08,0.03
5016,Đào,100g,31.0,0.9,0.2,6.3,1.5,20.0,0.45,0.0,10.0,0.02,0.05
5017,Đu đủ chín,100g,36.0,1.0,0.1,7.6,0.6,40.0,2.6,0.0,54.0,0.02,0.02
5018,Gioi,100g,16.0,0.4,0.3,3.2,2.9,12.0,0.5,0.0,30.0,0.03,0.02
5019,Hồng bì,100g,34.0,1.4,0.0,7.2,2.4,48.0,0.4,0.0,24.0,0.02,0.11
5020,Hồng đỏ,100g,29.0,0.7,0.2,6.0,2.5,10.0,0.2,0.0,16.0,0.01,0.02
5021,Hồng ngâm,100g,38.0,0.9,0.0,8.6,2.5,10.0,0.2,0.0,16.0,0.01,0.02
5022,Hồng xiêm,100g,48.0,0.5,0.7,10.0,2.5,52.0,2.3,0.0,8.0,0.0,0.02
5023,Lê,100g,45.0,0.7,0.2,10.2,0.6,19.0,2.3,0.0,4.0,0.02,0.04
5024,Lựu,100g,70.0,0.6,0.3,16.2,2.5,13.0,0.7,0.0,6.0,0.07,0.01
5025,Mãng cầu xiêm,100g,53.0,1.8,0.6,10.1,1.9,38.0,0.7,0.0,19.0,0.08,0.1
5026,Mắc coọc,100g,24.0,0.2,0.0,5.7,0.0,32.0,0.6,0.0,2.0,0.0,0.0
5027,Mận,100g,20.0,0.6,0.2,3.9,0.7,28.0,0.4,0.0,3.0,0.06,0.04
5028,Mít dai,100g,50.0,0.6,0.3,11.1,1.2,21.0,0.4,0.0,5.0,0.09,0.04
5029,Mít khô,100g,280.0,2.9,0.0,67.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
5030,Mít mật,100g,62.0,1.5,0.0,14.0,1.2,21.0,0.4,0.0,5.0,0.09,0.04
5031,Mơ,100g,48.0,0.9,0.4,10.1,0.8,28.0,2.1,0.0,7.0,0.04,0.06
5032,Mơ khô,100g,273.0,3.0,1.1,62.8,4.1,62.0,4.5,0.0,5.0,0.08,0.09
5033,"Muỗm, quéo",100g,67.0,0.6,0.4,15.3,0.4,4.0,0.2,0.0,60.0,0.06,0.06
5034,Na,100g,66.0,1.6,0.3,14.2,0.8,35.0,0.6,0.0,36.0,0.11,0.1
5035,Nhãn,100g,48.0,0.9,0.1,10.9,1.0,21.0,0.4,0.0,58.0,0.03,0.14
5036,Nhãn khô,100g,285.0,4.3,0.5,65.9,1.7,32.0,4.4,0.0,34.0,0.02,0.5
5037,Nho ngọt,100g,68.0,0.4,0.2,16.3,0.6,17.0,0.6,0.0,3.0,0.06,0.04
5038,Nho ta (nho chua),100g,14.0,0.4,0.0,3.1,2.4,40.0,1.4,0.0,45.0,0.05,0.04
5039,Nhót,100g,13.0,1.2,0.0,2.1,2.3,27.0,0.2,0.0,0.0,0.0,0.0
5040,Ổi,100g,38.0,0.6,1.0,6.8,6.0,10.0,1.3,0.0,62.0,0.05,0.04
