Code,Name,Unit,Energy_Kcal,Protein_g,Fat_g,Carb_g,Fiber_g,Calcium_mg,Iron_mg,Vit_A_mcg,Vit_C_mg,Vit_B1_mg,Vit_B2_mg
8013,Cá lác,100g,71.0,16.7,0.5,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0
8014,Cá mè,100g,144.0,15.4,9.1,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0
8015,Cá mòi,100g,124.0,17.5,6.0,0.0,0.0,80.0,3.0,20.0,0.0,0.02,0.15
8016,Cá mỡ,100g,151.0,16.8,9.3,0.0,0.0,42.0,1.4,30.0,0.0,0.08,0.21
8017,Cá mối,100g,116.0,22.1,3.1,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
8018,Cá nạc,100g,80.0,17.5,1.1,0.0,0.0,42.0,1.4,0.0,0.0,0.06,0.08
8019,Cá ngừ,100g,87.0,21.0,0.3,0.0,0.0,44.0,1.0,5.0,1.0,0.02,0.08
8020,Cá nục,100g,111.0,20.2,3.3,0.0,0.0,85.0,3.25,15.0,0.0,0.06,0.26
8021,Cá phèn,100g,104.0,15.9,4.5,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
8022,Cá quả,100g,97.0,18.2,2.7,0.0,0.0,90.0,0.0,0.0,0.0,0.04,0.12
8023,Cá rô đồng,100g,126.0,19.1,5.5,0.0,0.0,26.0,0.25,0.0,0.0,0.0,0.0
8024,Cá rô phi,100g,100.0,19.7,2.3,0.0,0.0,50.0,0.53,0.0,0.0,0.0,0.0
8025,Cá thờn bơn (cá bơn),100g,73.0,17.4,0.4,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0
8026,Cá thu,100g,166.0,18.2,10.3,0.0,0.0,50.0,1.3,10.0,0.0,0.07,0.17
8027,Cá thu đao,100g,156.0,20.0,8.4,0.0,0.0,22.0,3.0,35.0,0.0,0.05,0.1
8028,Cá trạch (cá chạch),100g,110.0,20.4,3.2,0.0,0.0,109.0,0.2,0.0,0.0,0.0,0.0
8029,Cá trắm cỏ,100g,91.0,17.0,2.6,0.0,0.0,57.0,0.1,0.0,0.0,0.0,0.0
8030,Cá trê,100g,173.0,16.5,11.9,0.0,0.0,20.0,1.0,93.0,0.0,0.1,0.04
8031,Cá trích,100g,166.0,17.7,10.6,0.0,0.0,64.0,2.8,20.0,0.0,0.02,0.18
8032,Cá trôi,100g,127.0,18.8,5.7,0.0,0.0,76.0,0.05,0.0,0.0,0.0,0.0
8033,Cua bể,100g,103.0,17.5,0.6,7.0,0.0,141.0,3.8,36.0,0.0,0.03,0.71
8034,Cua đồng,100g,87.0,12.3,3.3,2.0,0.0,120.0,1.4,210.0,0.0,0.01,0.51
8035,Ghẹ,100g,54.0,11.9,0.7,0.0,0.0,89.0,0.74,2.0,0.0,0.03,0.71
